id,candidate_id,qplume,name,folder,date,datetime,window_col_off,window_row_off,window_width,window_height,subset,difficulty,label_path,has_plume,window_labels
ang20190922t192642_r2048_c0_w512_h512,,0.0,ang20190922t192642,/AVIRISNG/Permian2019/ang20190922t192642_r2048_c0_w512_h512,2019-09-22,2019-09-22 19:26:42+00:00,0,0,512,512,train,random,,False,"Window(col_off=0, row_off=0, width=512, height=512)"
ang20190922t192642_r10240_c0_w512_h512,,0.0,ang20190922t192642,/AVIRISNG/Permian2019/ang20190922t192642_r10240_c0_w512_h512,2019-09-22,2019-09-22 19:26:42+00:00,0,0,512,512,train,random,,False,"Window(col_off=0, row_off=0, width=512, height=512)"
ang20190922t194340_r3328_c0_w512_h512,,0.0,ang20190922t194340,/AVIRISNG/Permian2019/ang20190922t194340_r3328_c0_w512_h512,2019-09-22,2019-09-22 19:43:40+00:00,0,0,512,512,train,random,,False,"Window(col_off=0, row_off=0, width=512, height=512)"
ang20190923t170747_r10752_c256_w512_h512,,0.0,ang20190923t170747,/AVIRISNG/Permian2019/ang20190923t170747_r10752_c256_w512_h512,2019-09-23,2019-09-23 17:07:47+00:00,0,0,512,512,train,random,,False,"Window(col_off=0, row_off=0, width=512, height=512)"
ang20190923t174142_r4096_c0_w512_h512,,0.0,ang20190923t174142,/AVIRISNG/Permian2019/ang20190923t174142_r4096_c0_w512_h512,2019-09-23,2019-09-23 17:41:42+00:00,0,0,512,512,train,hard,,False,"Window(col_off=0, row_off=0, width=512, height=512)"
ang20190923t183439_r0_c0_w512_h512,,0.0,ang20190923t183439,/AVIRISNG/Permian2019/ang20190923t183439_r0_c0_w512_h512,2019-09-23,2019-09-23 18:34:39+00:00,0,0,512,512,train,hard,,False,"Window(col_off=0, row_off=0, width=512, height=512)"
ang20190924t165509_r0_c0_w512_h512,,0.0,ang20190924t165509,/AVIRISNG/Permian2019/ang20190924t165509_r0_c0_w512_h512,2019-09-24,2019-09-24 16:55:09+00:00,0,0,512,512,train,hard,,False,"Window(col_off=0, row_off=0, width=512, height=512)"
ang20190924t165836_r2560_c0_w512_h512,,0.0,ang20190924t165836,/AVIRISNG/Permian2019/ang20190924t165836_r2560_c0_w512_h512,2019-09-24,2019-09-24 16:58:36+00:00,0,0,512,512,train,hard,,False,"Window(col_off=0, row_off=0, width=512, height=512)"
ang20190924t172057_r15360_c256_w512_h512,,0.0,ang20190924t172057,/AVIRISNG/Permian2019/ang20190924t172057_r15360_c256_w512_h512,2019-09-24,2019-09-24 17:20:57+00:00,0,0,512,512,train,random,,False,"Window(col_off=0, row_off=0, width=512, height=512)"
ang20190924t174538_r0_c0_w512_h512,,0.0,ang20190924t174538,/AVIRISNG/Permian2019/ang20190924t174538_r0_c0_w512_h512,2019-09-24,2019-09-24 17:45:38+00:00,0,0,512,512,train,hard,,False,"Window(col_off=0, row_off=0, width=512, height=512)"
